pe_oi,ce_oi,ce_iv,ce_chg,pe_iv,strike,ce_ltp,pe_chg,pe_ltp,pe_strength,ce_vol,symbol,pe_vol,ce_strength
101729,10232,6.9,-11731,8.07,25950,266.55,43268,12.9,2768057,513076,NIFTY,2623060,511577
224250,49834,6.96,-70133,7.78,26000,222.35,91586,18.2,6528023,2948330,NIFTY,6212187,2928031
113127,17917,6.78,-43719,7.57,26050,179.45,67737,26.15,4302511,2704608,NIFTY,4121647,2678806
139808,62221,6.82,-66686,7.43,26100,141.65,81359,37.85,5813019,5741833,NIFTY,5591852,5737368
65305,51510,6.78,-5219,7.31,26150,107.55,53493,53.55,4047549,4841738,NIFTY,3928751,4888029
93534,132091,6.71,13301,7.24,26200,78.25,62594,74.45,4306345,7121360,NIFTY,4150217,7266752
18193,61974,6.7,16308,7.14,26250,54.85,11518,100.0,1064783,3649603,NIFTY,1035072,3727885
25238,112438,6.61,-2169,7.14,26300,36.05,13017,131.55,969510,4803743,NIFTY,931255,4914012
7234,69734,6.58,19641,7.18,26350,22.7,5035,167.95,198427,2762825,NIFTY,186158,2852200
11881,139864,6.55,46222,7.44,26400,13.5,2135,209.65,234058,3522374,NIFTY,220042,3708460
2740,66101,6.66,24600,7.78,26450,8.2,1755,254.25,38185,1959823,NIFTY,33690,2050524
6029,2292,9.12,-2436,10.45,59300,1081.8,1381,312.0,65781,50183,BANKNIFTY,58371,50039
5293,3825,9.22,-2474,10.38,59400,1016.8,156,339.6,57872,47684,BANKNIFTY,52423,49035
47569,29103,9.02,-6338,10.27,59500,938.0,3476,367.25,218552,140957,BANKNIFTY,167507,163722
5531,4986,9.09,-1316,10.29,59600,876.2,1484,404.15,77454,74250,BANKNIFTY,70439,77920
6918,7646,9.11,755,10.21,59700,815.0,2639,437.3,75038,73974,BANKNIFTY,65481,82375
8396,8666,9.06,-328,10.16,59800,752.0,3163,475.05,57955,69412,BANKNIFTY,46396,77750
2970,6115,9.07,-757,10.2,59900,695.0,1438,519.9,31443,44259,BANKNIFTY,27035,49617
22168,36376,9.0,-5344,10.16,60000,636.25,4966,563.25,104063,183359,BANKNIFTY,76929,214391
3373,6409,9.09,501,10.16,60100,589.9,1066,610.75,16522,36575,BANKNIFTY,12083,43485
1946,4503,9.01,-209,10.14,60200,536.0,79,660.0,9383,29508,BANKNIFTY,7358,33802
1291,3024,9.01,-489,10.15,60300,489.35,-906,713.45,5929,27336,BANKNIFTY,5544,29871
