signal,metrics,vwap_dev,iv,timestamp,ltp,atm,symbol,ema_trend,oi_ratio,iv_trend,price_trend,oi,volume,oi_speed,pcr,coi,distance_from_atm,strike,option_type,score
STRONG SELL,"{'price_trend_pct': 0.0, 'ema_prev': 6.9, 'ema_new': 6.9, 'ema_delta': 0.0, 'vwap': 6.899999999999998, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 16.07, 'oi_speed': 0.0, 'ltp': 6.9, 'volume': 10373, 'coi': 93}",0.0,16.07,2025-12-07 12:27:46,6.9,1540,RELIANCE,0.0,0.615,0.0,0.0,4971,10373,0.0,0.549,93,40,1500,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 18.9, 'ema_new': 18.9, 'ema_delta': 0.0, 'vwap': 18.899999999999995, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 17.75, 'oi_speed': 0.0, 'ltp': 18.9, 'volume': 15852, 'coi': 2176}",0.0,17.75,2025-12-07 12:27:48,18.9,1620,INFY,0.0,0.508,0.0,0.0,7079,15852,0.0,0.708,2176,20,1600,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 10.9, 'ema_new': 10.9, 'ema_delta': 0.0, 'vwap': 10.900000000000004, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 13.99, 'oi_speed': 0.0, 'ltp': 10.9, 'volume': 15513, 'coi': 1121}",-0.0,13.99,2025-12-07 12:27:49,10.9,1000,HDFCBANK,0.0,0.683,0.0,0.0,7242,15513,0.0,0.642,1121,0,1000,PE,0.0
STRONG SELL,"{'price_trend_pct': 0.0, 'ema_prev': 23.75, 'ema_new': 23.75, 'ema_delta': 0.0, 'vwap': 23.75, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 15.74, 'oi_speed': 0.0, 'ltp': 23.75, 'volume': 3353, 'coi': -150}",0.0,15.74,2025-12-07 12:27:52,23.75,2100,BHARTIARTL,0.0,0.564,0.0,0.0,2913,3353,0.0,0.542,-150,0,2100,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 36.15, 'ema_new': 36.15, 'ema_delta': 0.0, 'vwap': 36.150000000000006, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 15.28, 'oi_speed': 0.0, 'ltp': 36.15, 'volume': 3298, 'coi': 264}",-0.0,15.28,2025-12-07 12:27:55,36.15,4040,LT,0.0,0.62,0.0,0.0,2431,3298,0.0,0.714,264,40,4000,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 16.55, 'ema_new': 16.55, 'ema_delta': 0.0, 'vwap': 16.550000000000004, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 16.06, 'oi_speed': 0.0, 'ltp': 16.55, 'volume': 2938, 'coi': -172}",-0.0,16.06,2025-12-07 12:27:56,16.55,1280,AXISBANK,0.0,0.506,0.0,0.0,1363,2938,0.0,0.616,-172,0,1280,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 48.95, 'ema_new': 48.95, 'ema_delta': 0.0, 'vwap': 48.95, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 19.42, 'oi_speed': 0.0, 'ltp': 48.95, 'volume': 11405, 'coi': -328}",0.0,19.42,2025-12-07 12:27:58,48.95,2340,HINDUNILVR,0.0,0.626,0.0,0.0,464,11405,0.0,0.625,-328,20,2360,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 15.6, 'ema_new': 15.6, 'ema_delta': 0.0, 'vwap': 15.600000000000005, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 20.13, 'oi_speed': 0.0, 'ltp': 15.6, 'volume': 4988, 'coi': 472}",-0.0,20.13,2025-12-07 12:28:00,15.6,1050,BAJFINANCE,0.0,0.657,0.0,0.0,1503,4988,0.0,0.739,472,10,1040,PE,0.0
SELL,"{'price_trend_pct': 0.0, 'ema_prev': 75.6, 'ema_new': 75.6, 'ema_delta': 0.0, 'vwap': 75.59999999999997, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 27.13, 'oi_speed': 0.0, 'ltp': 75.6, 'volume': 1449, 'coi': 453}",0.0,27.13,2025-12-07 12:28:01,75.6,2260,ADANIENT,0.0,0.541,0.0,0.0,3395,1449,0.0,0.648,453,40,2300,PE,0.0
STRONG SELL,"{'price_trend_pct': 0.0, 'ema_prev': 19.5, 'ema_new': 19.5, 'ema_delta': 0.0, 'vwap': 19.5, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 14.54, 'oi_speed': 0.0, 'ltp': 19.5, 'volume': 1137, 'coi': -70}",0.0,14.54,2025-12-07 12:28:03,19.5,1800,SUNPHARMA,0.0,0.34,0.0,0.0,585,1137,0.0,0.458,-70,0,1800,PE,0.0
